"_id","first_name","last_name","GP","Min_per","stops","oreb","dreb","treb","ast","stl","blk","pts"
"65d5e15f016cc2be02ffefb5","Jack","Westerfield","1","0.1","0.10613","0","0","0","0","0","0","0"
"65d5e15c016cc2be02ff8083","","","20","16","24.4327","0.45","0.55","1","0.35","0.2","0.05","2"
"65d5e15e016cc2be02ffd9e5","Peter","Westra","1","0.2","0.365474","0","0","0","0","0","0","3"
"65d5e15f016cc2be02ffeeaf","Saren","Westrop","14","1.8","2.7581","0","0.0714","0.0714","0.0714","0","0","0"
"65d5e15c016cc2be02ff7466","Ryan","Wetherell","3","0.5","1.39719","0","0.6667","0.6667","0.3333","0","0","0"
"65d5e15d016cc2be02ffa47e","Keenan","Wetzel","11","0.8","1.12966","0","0","0","0","0","0","0.3636"
"65d5e160016cc2be020029a4","Yanni","Wetzell","32","46","118.722","1.25","2.5625","3.8125","0.3438","0.6562","0.5938","5.9375"
"65d5e160016cc2be020027a5","Michael","Wexler","7","0.8","1.70528","0","0.25","0.25","0","0","0","0"
"65d5e15d016cc2be02ffa2e9","Jay","Wey","11","4.8","8.70153","0","0.0909","0.0909","0.4545","0.1818","0","1.5455"
"65d5e15f016cc2be020012c2","Matt","Weyand","1","0.1","0.104596","0","0","0","0","0","0","0"
"65d5e160016cc2be02002939","Jake","Weyhrich","7","0.6","1.51897","0","0.4286","0.4286","0","0","0","0"
"65d5e15c016cc2be02ff8595","Rashad","Whack","18","7.5","13.0853","0.2778","0.1667","0.4444","0.1667","0.1667","0","1.7222"
"65d5e160016cc2be020015a5","Isaiah","Whaley","30","31.8","74.4562","1.1333","1.1","2.2333","0.3333","0.3667","1","2.5667"
"65d5e15c016cc2be02ff660b","Dominique","Whatley","3","4.1","7.6067","0","0.6667","0.6667","0.3333","0.3333","0.6667","2.6667"
"65d5e15c016cc2be02ff77c1","Tyler","Whatley","5","1","1.14141","0","0","0","0","0","0","1"
"65d5e15f016cc2be020014da","Justin","Whatley","22","24.4","42.9624","0.5455","1.0455","1.5909","0.3636","0.2727","0.1818","2.5"
"65d5e15b016cc2be02ff6521","Bishop","Wheatley","32","60.1","133.915","1.0312","2.8438","3.875","1.25","0.4375","0.3125","4.75"
"65d5e15c016cc2be02ff67d5","Ben","Wheeler","30","40.6","82.38","0.6667","1.9","2.5667","1.7333","0.3333","0.0333","2.6333"
"65d5e15d016cc2be02ffa5e6","Demetri","Wheeler","19","37.5","57.4572","1.1053","1.7368","2.8421","0.4211","0.2632","0.2105","3.3158"
"65d5e15e016cc2be02ffdb76","Aaron","Wheeler","28","78.9","145.676","2.4839","2.6774","5.1613","2.3871","1.0968","0.5806","7.9032"
"65d5e15f016cc2be02ffeeef","Connor","Wheeler","22","22.2","41.0701","0.1364","0.9545","1.0909","1","0.4091","0.0455","2.0455"
"65d5e15f016cc2be02000446","Jaleel","Wheeler","30","68.2","156.253","0.3333","3.9333","4.2667","1.9667","0.5333","0.3","9.3"
"65d5e15f016cc2be020012df","Jamari","Wheeler","39","35.8","122.05","0.7692","1.0769","1.8462","1.4359","1.3333","0.0769","2"
"65d5e160016cc2be0200375c","Sahvir","Wheeler","30","64.8","126.244","0.5484","1.9032","2.4516","4.4839","0.8387","0","9.0323"
"65d5e15c016cc2be02ff8195","Brandon","Wheeless","24","21.8","43.5052","0.8333","1","1.8333","0.25","0.3333","0.0417","3.0417"
"65d5e15d016cc2be02ffa326","Gelaun","Wheelwright","25","38.4","76.8666","0.12","1.92","2.04","1","0.44","0.16","5.52"
"65d5e15d016cc2be02ffb6a8","Tim","Whelan","6","1.1","1.32807","0.1667","0","0.1667","0","0","0","0"
"65d5e15d016cc2be02ff954d","Jeff","Wherry","27","32.6","68.4503","0.2222","1.6667","1.8889","1.3704","0.4815","0.037","2.9259"
"65d5e161016cc2be02004fd3","Cade","Whicker","1","0.1","0.106168","0","0","0","0","0","0","0"
"65d5e15c016cc2be02ff7186","Jonathan","Whipple","27","54","89.8078","1.9259","1.3704","3.2963","0.4074","0.8519","0.2222","4.8148"
"65d5e160016cc2be020026e5","Calvin","Whipple","24","26.9","50.5619","0.4167","1.25","1.6667","0.4167","0.2083","0.0833","3.2917"
"65d5e15d016cc2be02ffa975","Terry","Whisnant","25","13.5","29.9909","0.4","0.6","1","0.48","0.24","0","2.12"
"65d5e15c016cc2be02ff848e","Greg","Whitaker","1","0.1","","","","","","","",""
"65d5e15d016cc2be02ffa7b1","","","30","26.5","50.0674","0.2667","1","1.2667","0.6","0.2333","0","2.8"
"65d5e15e016cc2be02ffc7ef","Lance","Whitaker","2","3.4","4.97438","0.5","0.5","1","2","0.5","0","3"
"65d5e15e016cc2be02ffdd6d","James","Whitaker","30","38.6","64.8019","0.5625","1.0938","1.6562","0.3125","0.4688","0.25","4.9688"
"65d5e15f016cc2be02000080","Ronald","Whitaker","17","9.7","16.2886","0.4211","0.4737","0.8947","0.1053","0.1579","0","1.6316"
"65d5e160016cc2be020039d3","Chris","Whitaker","24","23.8","45.6669","0.7308","1.0769","1.8077","1.1154","0.4615","0.0385","3.6154"
"65d5e161016cc2be02004c0b","Destin","Whitaker","12","7.9","8.48727","0.0769","0.3077","0.3846","0.0769","0","0","1.6923"
"65d5e15b016cc2be02ff628e","Josh","White","31","82.3","145.17","0.4839","2.4516","2.9355","2.5484","0.5161","0","11.2581"
"65d5e15b016cc2be02ff62a0","Malcolm","White","31","61.6","146.754","2.0323","3.6452","5.6774","0.0968","0.3871","1.3871","7.1935"
